# RNAseq_stressmatched_transcriptcounts.txt - counts to transcripts from multiBamCov
# Run from process_RNAseq.Rmd
# RNA_stressmatched_StefanBresson2020, date 26-09-2020
seqname	source	feature	start	end	score	strand	frame	attributes	RNA_A_30	RNA_B_30	RNA_C_GE	RNA_D_GE	RNA_E_42	RNA_F_42
chrIV	SGD	primary_transcript	1020639	1021768	.	+	.	ypd=15;ID=YDR280W_id049	3565	2365	2971	2050	1015	1028
chrIV	SGD	primary_transcript	1021831	1022352	.	-	.	ypd=18;ID=YDR281C_id161	126	72	37	25	24	11
chrIV	SGD	primary_transcript	1023319	1024762	.	-	.	ypd=10;ID=YDR282C_id015	993	649	1301	897	1194	1128
chrIV	yeastutrgff	primary_transcript	1024945	1030074	.	-	.	ID=YDR283C_tx0	6512	4366	3843	2700	1807	2036
chrIV	SGD	primary_transcript	1030463	1031708	.	-	.	ypd=7;ID=YDR284C_id012	5045	3338	3969	2784	2168	2276
chrIV	yeastutrgff	primary_transcript	1032411	1035188	.	+	.	ID=YDR285W_tx0	1116	734	1302	917	999	934
chrIV	SGD	primary_transcript	1035963	1036959	.	+	.	ypd=30;ID=YDR287W_id050	1601	1066	2034	1372	1732	1752
chrIV	SGD	primary_transcript	1037192	1038225	.	+	.	ypd=3;ID=YDR288W_id032	1849	1236	1866	1282	1144	1113
chrIV	SGD	primary_transcript	1038210	1039564	.	-	.	ypd=6;ID=YDR289C_id025	2602	1704	2659	1860	1603	1620
chrIV	yeastutrgff	primary_transcript	1039703	1043086	.	+	.	ID=YDR291W_tx0	3229	2124	3266	2136	1382	1384
chrIV	SGD	primary_transcript	1043088	1045143	.	-	.	ypd=5;ID=YDR292C_id030	8239	5423	4586	3177	2170	2246
chrIV	SGD	primary_transcript	1045313	1049498	.	-	.	ypd=1;ID=YDR293C_id003	13820	9044	16322	10942	17136	16380
chrIV	SGD	primary_transcript	1050414	1052266	.	-	.	ypd=14;ID=YDR294C_id081	6897	4472	5229	3630	4500	4587
chrIV	SGD	primary_transcript	1052542	1054910	.	-	.	ypd=2;ID=YDR295C_id001	2599	1630	2875	1945	2097	1899
chrIV	SGD	primary_transcript	1055159	1055979	.	+	.	ypd=142;ID=YDR296W_id120	2006	1244	2152	1547	1183	1290
chrIV	SGD	primary_transcript	1056515	1057763	.	+	.	ypd=21;ID=YDR297W_id102	6227	4039	3883	2758	1162	1119
chrIV	SGD	primary_transcript	1057999	1058960	.	-	.	ypd=808;ID=YDR298C_id351	7318	4809	5197	3546	3363	2862
chrIV	SGD	primary_transcript	1059572	1061325	.	+	.	ypd=3;ID=YDR299W_id005	6027	4006	1801	1315	401	328
chrIV	SGD	primary_transcript	1061395	1062843	.	-	.	ypd=52;ID=YDR300C_id068	5596	3786	2533	1718	482	401
chrIV	yeastutrgff	primary_transcript	1063327	1067550	.	+	.	ID=YDR301W_tx0	4673	2921	3340	2257	1995	1910
chrIV	SGD	primary_transcript	1067688	1068463	.	+	.	ypd=176;ID=YDR302W_id069	2200	1502	1220	828	754	737
chrIV	SGD	primary_transcript	1068622	1071678	.	-	.	ypd=3;ID=YDR303C_id009	5752	3838	3778	2504	4018	3530
chrIV	SGD	primary_transcript	1071808	1072587	.	-	.	ypd=110;ID=YDR304C_id256	11216	7497	6950	4773	7841	7563
chrIV	SGD	primary_transcript	1072659	1074110	.	-	.	ypd=1;ID=YDR305C_id001	2034	1437	2012	1378	1713	1566
chrIV	SGD	primary_transcript	1073640	1075204	.	-	.	ypd=3;ID=YDR306C_id023	2162	1458	2873	1951	2631	2336
chrIV	SGD	primary_transcript	1077919	1078490	.	-	.	ypd=31;ID=YDR308C_id236	1461	901	1074	758	491	445
chrIV	SGD	primary_transcript	1079031	1080249	.	-	.	ypd=21;ID=YDR309C_id048	7424	4899	3539	2495	1420	1202
chrIV	yeastutrgff	primary_transcript	1081003	1084341	.	-	.	ID=YDR310C_tx0	7937	5091	5074	3341	3503	3273
chrIV	SGD	primary_transcript	1085029	1087097	.	+	.	ypd=1;ID=YDR311W_id003	2938	2027	4264	2835	2076	1764
chrIV	SGD	primary_transcript	1087549	1089128	.	+	.	ypd=5;ID=YDR312W_id016	3192	2154	1153	816	224	199
chrIV	SGD	primary_transcript	1089041	1090510	.	-	.	ypd=2;ID=YDR313C_id003	1244	832	1812	1269	2626	2006
chrIV	yeastutrgff	primary_transcript	1090308	1092536	.	-	.	ID=YDR314C_tx0	787	516	1299	816	931	866
chrIV	SGD	primary_transcript	1092551	1093613	.	-	.	ypd=1;ID=YDR315C_id001	912	648	755	560	334	350
chrIV	SGD	primary_transcript	1093740	1095257	.	+	.	ypd=8;ID=YDR316W_id016	1821	1237	2019	1365	1180	1176
chrIV	SGD	primary_transcript	1102133	1103509	.	+	.	ypd=5;ID=YDR317W_id003	273	172	235	209	204	185
chrIV	SGD	primary_transcript	1103742	1105085	.	+	.	ypd=6;ID=YDR318W_id024	1205	809	1338	1019	461	460
chrIV	SGD	primary_transcript	1106004	1108108	.	-	.	ypd=7;ID=YDR320C_id016	2729	1760	2159	1418	1801	1613
chrIV	SGD	primary_transcript	1108201	1108521	.	-	.	ypd=56;ID=YDR320C-A_id136	1521	1078	981	629	865	764
chrIV	SGD	primary_transcript	1108680	1109952	.	+	.	ypd=15;ID=YDR321W_id101	10035	6576	3952	2763	951	695
chrIV	SGD	primary_transcript	1111797	1112311	.	-	.	ypd=1920;ID=YDR322C-A_id407	4282	2828	3526	2408	4278	3821
chrIV	SGD	primary_transcript	1110563	1111798	.	+	.	ypd=10;ID=YDR322W_id010	2228	1471	2430	1532	916	1033
chrIV	SGD	primary_transcript	1112333	1114057	.	-	.	ypd=1;ID=YDR323C_id002	1117	732	1341	961	782	747
chrIV	yeastutrgff	primary_transcript	1114308	1116788	.	-	.	ID=YDR324C_tx0	7145	4892	1919	1317	462	390
chrIV	yeastutrgff	primary_transcript	1117101	1120358	.	+	.	ID=YDR325W_tx0	3595	2444	1922	1403	906	986
chrIV	yeastutrgff	primary_transcript	1120484	1124950	.	-	.	ID=YDR326C_tx0	8249	5314	4792	3250	3277	3346
chrIV	SGD	primary_transcript	1125241	1126085	.	-	.	ypd=737;ID=YDR328C_id097	7567	5118	5051	3477	5231	5078
chrIV	SGD	primary_transcript	1126190	1127622	.	-	.	ypd=5;ID=YDR329C_id012	3240	2108	4077	2825	3224	3247
chrIV	SGD	primary_transcript	1127813	1129566	.	+	.	ypd=6;ID=YDR330W_id024	2403	1546	3614	2567	4104	3695
chrIV	SGD	primary_transcript	1129567	1130957	.	+	.	ypd=12;ID=YDR331W_id021	2767	1888	2044	1403	1192	1043
chrIV	SGD	primary_transcript	1130976	1133125	.	+	.	ypd=4;ID=YDR332W_id010	1615	1039	2169	1533	1242	1225
chrIV	SGD	primary_transcript	1133044	1135445	.	-	.	ypd=4;ID=YDR333C_id010	5519	3482	5100	3564	2090	2114
chrIV	yeastutrgff	primary_transcript	1135907	1140601	.	+	.	ID=YDR334W_tx0	6468	4305	5044	3528	5835	5907
chrIV	SGD	primary_transcript	1140811	1144954	.	+	.	ypd=3;ID=YDR335W_id001	9474	6242	9255	6368	8253	7878
chrIV	SGD	primary_transcript	1146285	1147231	.	+	.	ypd=5;ID=YDR337W_id065	2273	1444	2266	1506	1315	1280
chrIV	SGD	primary_transcript	1149878	1150544	.	-	.	ypd=72;ID=YDR339C_id476	2916	1941	1745	1183	441	480
chrIV	SGD	primary_transcript	1151715	1153647	.	-	.	ypd=82;ID=YDR341C_id160	26012	16980	9990	7155	2836	2748
chrIV	SGD	primary_transcript	1154074	1156014	.	-	.	ypd=25;ID=YDR342C_id055	12563	8517	220542	154172	32449	26246
chrIV	yeastutrgff	primary_transcript	1159483	1161345	.	-	.	ID=YDR343C_tx0	10227	6748	193856	135296	24410	20518
chrIV	SGD	primary_transcript	1162813	1164692	.	-	.	ypd=439;ID=YDR345C_id054	26772	17382	86018	56897	3389	2843
chrIV	SGD	primary_transcript	1166922	1168779	.	-	.	ypd=8;ID=YDR346C_id065	16473	10903	6397	4473	3155	3052
chrIV	SGD	primary_transcript	1169114	1170260	.	+	.	ypd=22;ID=YDR347W_id066	3233	2110	2255	1543	2098	2040
chrIV	SGD	primary_transcript	1170152	1172067	.	-	.	ypd=5;ID=YDR348C_id005	4981	3544	4274	2879	2422	2195
chrIV	SGD	primary_transcript	1172264	1174281	.	-	.	ypd=5;ID=YDR349C_id010	5312	3544	3535	2401	1613	1577
chrIV	SGD	primary_transcript	1176048	1178202	.	-	.	ypd=3;ID=YDR350C_id008	2612	1713	3586	2415	2176	2022
chrIV	yeastutrgff	primary_transcript	1178641	1181385	.	+	.	ID=YDR351W_tx0	3854	2533	2375	1694	1909	1874
chrIV	SGD	primary_transcript	1181623	1182991	.	+	.	ypd=4;ID=YDR352W_id016	2911	2082	2008	1340	1029	1059
chrIV	SGD	primary_transcript	1183251	1184309	.	+	.	ypd=127;ID=YDR353W_id476	25707	17079	14192	10173	16299	15693
chrIV	SGD	primary_transcript	1184671	1185958	.	+	.	ypd=40;ID=YDR354W_id071	6278	3925	4072	2952	1344	1237
chrIV	yeastutrgff	primary_transcript	1186082	1189066	.	+	.	ID=YDR356W_tx0	4938	3240	4507	3163	2293	2128
chrIV	SGD	primary_transcript	1189130	1189646	.	-	.	ypd=14;ID=YDR357C_id190	1421	936	949	665	861	894
chrIV	SGD	primary_transcript	1190007	1191927	.	+	.	ypd=2;ID=YDR358W_id003	2440	1707	7048	4972	7684	6837
chrIV	yeastutrgff	primary_transcript	1191811	1194909	.	-	.	ID=YDR359C_tx0	3059	1841	2569	1493	1510	1687
chrIV	SGD	primary_transcript	1195161	1196289	.	-	.	ypd=59;ID=YDR361C_id094	5078	3334	2336	1542	384	328
chrIV	SGD	primary_transcript	1196464	1198807	.	-	.	ypd=2;ID=YDR362C_id001	2425	1621	2060	1520	1236	1174
chrIV	SGD	primary_transcript	1199010	1201397	.	+	.	ypd=4;ID=YDR363W_id002	1989	1352	2921	1977	1448	1458
chrIV	SGD	primary_transcript	1202106	1202472	.	+	.	ypd=59;ID=YDR363W-A_id498	5784	3856	3396	2110	6493	6039
chrIV	SGD	primary_transcript	1202440	1204233	.	-	.	ypd=3;ID=YDR364C_id009	2477	1763	1703	1108	731	726
chrIV	SGD	primary_transcript	1204421	1206409	.	-	.	ypd=16;ID=YDR365C_id066	14029	9005	12983	8734	6684	5241
chrIV	SGD	primary_transcript	1212779	1213657	.	+	.	ypd=18;ID=YDR367W_id108	2204	1463	1527	1057	732	746
chrIV	SGD	primary_transcript	1213853	1215004	.	+	.	ypd=509;ID=YDR368W_id097	5586	3657	5266	3800	4517	4255
chrIV	yeastutrgff	primary_transcript	1214891	1217605	.	-	.	ID=YDR369C_tx0	1335	913	1608	1136	742	767
chrIV	SGD	primary_transcript	1217730	1219121	.	-	.	ypd=6;ID=YDR370C_id024	1937	1304	1460	1054	398	396
chrIV	SGD	primary_transcript	1220965	1222453	.	-	.	ypd=3;ID=YDR372C_id012	10261	6788	5079	3449	2732	2730
chrIV	SGD	primary_transcript	1222682	1223462	.	+	.	ypd=1;ID=YDR373W_id002	3994	2701	2224	1649	2779	2710
chrIV	yeastutrgff	primary_transcript	1223349	1224419	.	-	.	ID=YDR374C_tx0	20	14	28	26	165	72
chrIV	SGD	primary_transcript	1224736	1225202	.	+	.	ypd=33;ID=YDR374W-A_id046	827	566	729	508	813	688
chrIV	SGD	primary_transcript	1225108	1226557	.	-	.	ypd=5;ID=YDR375C_id007	2013	1324	2020	1458	981	883
chrIV	SGD	primary_transcript	1226759	1228375	.	+	.	ypd=3;ID=YDR376W_id011	2786	1816	2314	1530	1843	1720
chrIV	SGD	primary_transcript	1228531	1229205	.	+	.	ypd=75;ID=YDR377W_id569	5875	3943	5372	3717	8040	6252
chrIV	SGD	primary_transcript	1229140	1229627	.	-	.	ypd=175;ID=YDR378C_id165	3966	2688	2148	1481	1451	1372
chrIV	SGD	primary_transcript	1233124	1233562	.	-	.	ypd=6;ID=YDR379C-A_id036	548	374	1239	846	2026	1642
chrIV	SGD	primary_transcript	1230091	1233274	.	+	.	ypd=4;ID=YDR379W_id004	3197	2238	3150	2329	2298	2407
chrIV	SGD	primary_transcript	1234115	1236269	.	+	.	ypd=3;ID=YDR380W_id005	3787	2475	3913	2649	15614	18829
chrIV	SGD	primary_transcript	1238194	1238851	.	-	.	ypd=146;ID=YDR381C-A_id193	882	604	1388	963	835	769
chrIV	SGD	primary_transcript	1236461	1238115	.	+	.	ypd=14;ID=YDR381W_id121	21945	14643	15400	10522	12084	8680
chrIV	SGD	primary_transcript	1239411	1239969	.	+	.	ypd=1088;ID=YDR382W_id163	61386	40318	29222	18867	6427	4966
chrIV	SGD	primary_transcript	1239885	1240695	.	-	.	ypd=6;ID=YDR383C_id031	927	696	1417	906	380	354
chrIV	SGD	primary_transcript	1241043	1242116	.	-	.	ypd=73;ID=YDR384C_id085	8076	4959	3455	2168	1284	1440
chrIV	SGD	primary_transcript	1243194	1245910	.	+	.	ypd=35;ID=YDR385W_id131	127736	81957	63752	46113	16022	14327
chrIV	SGD	primary_transcript	1246076	1248085	.	+	.	ypd=2;ID=YDR386W_id009	1816	1120	1436	1048	875	879
chrIV	SGD	primary_transcript	1250135	1251755	.	+	.	ypd=1273;ID=YDR388W_id045	12286	7845	9208	5989	8628	8454
chrIV	SGD	primary_transcript	1252021	1254811	.	+	.	ypd=2;ID=YDR389W_id002	4350	2848	2323	1587	2201	2072
chrIV	SGD	primary_transcript	1254885	1256876	.	-	.	ypd=14;ID=YDR390C_id018	5043	3351	3189	2283	1217	1284
chrIV	SGD	primary_transcript	1258655	1259839	.	+	.	ypd=10;ID=YDR392W_id042	2088	1427	2150	1381	1453	1352
chrIV	SGD	primary_transcript	1259813	1261460	.	+	.	ypd=1;ID=YDR393W_id001	2030	1297	2066	1401	1004	911
chrIV	SGD	primary_transcript	1261628	1263054	.	+	.	ypd=93;ID=YDR394W_id164	10443	6761	8436	5831	9589	9222
chrIV	SGD	primary_transcript	1263208	1266255	.	+	.	ypd=3;ID=YDR395W_id006	10375	6908	4146	2760	1239	1178
chrIV	SGD	primary_transcript	1266268	1266975	.	-	.	ypd=327;ID=YDR397C_id211	2762	1894	1345	901	1059	1004
chrIV	SGD	primary_transcript	1267436	1269501	.	+	.	ypd=13;ID=YDR398W_id087	5459	3547	1825	1339	420	356
chrIV	SGD	primary_transcript	1269999	1270839	.	+	.	ypd=174;ID=YDR399W_id107	8650	5828	4852	3495	930	872
chrIV	SGD	primary_transcript	1271043	1272239	.	+	.	ypd=14;ID=YDR400W_id048	2865	1844	1663	1182	834	783
chrIV	yeastutrgff	primary_transcript	1272109	1273728	.	-	.	ID=YDR402C_tx0	73	51	64	53	96	83
chrIV	yeastutrgff	primary_transcript	1274577	1276337	.	+	.	ID=YDR403W_tx0	170	117	167	144	281	233
chrIV	SGD	primary_transcript	1276506	1277361	.	-	.	ypd=111;ID=YDR404C_id164	5361	3565	3853	2518	2287	2202
chrIV	SGD	primary_transcript	1277593	1278545	.	+	.	ypd=61;ID=YDR405W_id174	1833	1113	2733	1581	1019	1010
chrIV	yeastutrgff	primary_transcript	1279185	1283924	.	+	.	ID=YDR406W_tx0	4056	2569	3524	2338	3911	4122
chrIV	SGD	primary_transcript	1284000	1288060	.	-	.	ypd=1;ID=YDR407C_id001	6835	4417	4090	2803	2653	2702
chrIV	SGD	primary_transcript	1288031	1288905	.	-	.	ypd=218;ID=YDR408C_id079	4464	2889	3380	2362	1423	1492
chrIV	yeastutrgff	primary_transcript	1289381	1292245	.	+	.	ID=YDR409W_tx0	2667	1611	2520	1591	2027	1988
chrIV	SGD	primary_transcript	1292269	1293150	.	-	.	ypd=11;ID=YDR410C_id015	2165	1439	1040	776	449	487
chrIV	SGD	primary_transcript	1293305	1294444	.	-	.	ypd=6;ID=YDR411C_id024	2431	1700	1773	1099	1257	1107
chrIV	SGD	primary_transcript	1294644	1295541	.	+	.	ypd=263;ID=YDR412W_id188	4051	2716	1321	955	407	339
chrIV	SGD	primary_transcript	1295484	1296883	.	-	.	ypd=6;ID=YDR414C_id023	2245	1483	1147	772	555	535
chrIV	SGD	primary_transcript	1298346	1301043	.	+	.	ypd=2;ID=YDR416W_id001	2697	1877	2774	1893	1219	1176
chrIV	SGD	primary_transcript	1301582	1302194	.	+	.	ypd=4209;ID=YDR418W_id614	68049	43410	24518	16209	5352	4272
chrIV	SGD	primary_transcript	1303169	1305459	.	+	.	ypd=1;ID=YDR419W_id001	2245	1488	1789	1201	700	760
chrIV	yeastutrgff	primary_transcript	1306242	1311800	.	+	.	ID=YDR420W_tx0	4351	2719	2768	1654	1254	1382
chrIV	SGD	primary_transcript	1311975	1314921	.	+	.	ypd=1;ID=YDR421W_id003	2065	1411	2166	1508	1762	1828
chrIV	SGD	primary_transcript	1315036	1317829	.	-	.	ypd=12;ID=YDR422C_id005	3405	2101	3470	2278	2430	2250
chrIV	SGD	primary_transcript	1317953	1319324	.	-	.	ypd=1;ID=YDR423C_id001	1548	969	2459	1649	2278	1929
chrIV	SGD	primary_transcript	1319338	1319867	.	-	.	ypd=13;ID=YDR424C_id079	1785	1218	1217	822	959	960
chrIV	yeastutrgff	primary_transcript	1320039	1322066	.	+	.	ID=YDR425W_tx0	1754	1213	2617	1704	2020	1939
chrIV	SGD	primary_transcript	1322175	1323483	.	+	.	ypd=23;ID=YDR427W_id036	8613	5775	7239	5074	9287	8886
chrIV	SGD	primary_transcript	1323347	1324272	.	-	.	ypd=13;ID=YDR428C_id072	1811	1176	1012	710	401	422
chrIV	SGD	primary_transcript	1324375	1325318	.	-	.	ypd=455;ID=YDR429C_id427	17784	11835	7080	5010	2532	2429
chrIV	SGD	primary_transcript	1325468	1328535	.	-	.	ypd=1;ID=YDR430C_id003	4756	3120	3124	2149	4060	4268
chrIV	yeastutrgff	primary_transcript	1328758	1330152	.	+	.	ID=YDR432W_tx0	13283	8540	9266	5426	17108	14557
chrIV	SGD	primary_transcript	1331129	1332956	.	+	.	ypd=2;ID=YDR434W_id005	5905	3917	3589	2551	3195	2885
chrIV	SGD	primary_transcript	1332821	1333982	.	-	.	ypd=6;ID=YDR435C_id038	1351	929	2699	1833	1681	1655
chrIV	SGD	primary_transcript	1334689	1337114	.	+	.	ypd=3;ID=YDR436W_id002	2078	1348	3187	2012	2592	2803
chrIV	SGD	primary_transcript	1337285	1339173	.	+	.	ypd=2;ID=YDR437W_id002	1113	756	1228	784	550	536
chrIV	SGD	primary_transcript	1338211	1339486	.	+	.	ypd=3;ID=YDR438W_id006	898	593	979	625	441	419
chrIV	SGD	primary_transcript	1339589	1340819	.	+	.	ypd=3;ID=YDR439W_id017	1289	830	1241	848	610	562
chrIV	SGD	primary_transcript	1342406	1344344	.	+	.	ypd=4;ID=YDR440W_id008	2646	1769	1350	937	694	691
chrIV	SGD	primary_transcript	1344273	1345195	.	-	.	ypd=17;ID=YDR441C_id203	965	643	617	365	338	340
chrIV	yeastutrgff	primary_transcript	1345551	1349963	.	-	.	ID=YDR443C_tx0	2745	1734	2241	1506	1486	1685
chrIV	yeastutrgff	primary_transcript	1353700	1354758	.	+	.	ID=YDR446W_tx0	21	11	13	13	10	10
chrIV	SGD	primary_transcript	1354711	1355588	.	-	.	ypd=406;ID=YDR447C_id773	47918	31264	13511	8833	3252	2497
chrIV	SGD	primary_transcript	1356029	1357472	.	+	.	ypd=1;ID=YDR448W_id001	2454	1635	1957	1296	1364	1111
chrIV	SGD	primary_transcript	1357510	1358943	.	-	.	ypd=121;ID=YDR449C_id033	3574	2338	1354	977	197	197
chrIV	SGD	primary_transcript	1359902	1360913	.	+	.	ypd=1059;ID=YDR450W_id280	65110	43463	20405	14168	6468	5221
chrIV	SGD	primary_transcript	1360960	1362234	.	-	.	ypd=26;ID=YDR451C_id055	3190	2090	577	413	260	394
chrIV	SGD	primary_transcript	1362728	1365067	.	+	.	ypd=5;ID=YDR452W_id008	12143	7918	9104	6160	7483	7355
chrIV	SGD	primary_transcript	1364985	1365730	.	-	.	ypd=19;ID=YDR453C_id055	471	335	1108	625	6166	6305
chrIV	SGD	primary_transcript	1366161	1366843	.	-	.	ypd=380;ID=YDR454C_id318	13530	8972	5229	3705	2565	2262
chrIV	SGD	primary_transcript	1367419	1369459	.	+	.	ypd=6;ID=YDR456W_id027	5720	3622	4054	2797	2299	2307
chrIV	yeastutrgff	primary_transcript	1369765	1379721	.	+	.	ID=YDR457W_tx0	12521	7982	8633	5849	5062	5316
chrIV	SGD	primary_transcript	1379881	1382082	.	-	.	ypd=2;ID=YDR458C_id009	3877	2627	3673	2390	2434	2231
chrIV	SGD	primary_transcript	1382152	1383545	.	-	.	ypd=6;ID=YDR459C_id006	1700	1160	1647	1136	575	550
chrIV	SGD	primary_transcript	1383699	1384876	.	+	.	ypd=5;ID=YDR460W_id034	2220	1407	2416	1593	1313	1215
chrIV	SGD	primary_transcript	1385148	1385432	.	+	.	ypd=1;ID=YDR461W_id011	14018	9323	5133	3282	1643	1689
chrIV	SGD	primary_transcript	1386021	1386639	.	+	.	ypd=18;ID=YDR462W_id069	1321	885	1546	1019	917	950
chrIV	SGD	primary_transcript	1386771	1388578	.	+	.	ypd=18;ID=YDR463W_id016	5307	3360	4259	2816	2925	2683
chrIV	yeastutrgff	primary_transcript	1388847	1393304	.	+	.	ID=YDR464W_tx0	7519	4308	3751	2280	1800	1598
chrIV	SGD	primary_transcript	1393173	1394617	.	-	.	ypd=11;ID=YDR465C_id062	4887	3322	1666	1181	363	324
chrIV	SGD	primary_transcript	1395026	1398065	.	+	.	ypd=1;ID=YDR466W_id001	3640	2349	3372	2335	3197	3168
chrIV	SGD	primary_transcript	1397907	1398806	.	-	.	ypd=12;ID=YDR468C_id088	2941	1988	2054	1463	2207	1908
chrIV	SGD	primary_transcript	1398975	1399609	.	+	.	ypd=21;ID=YDR469W_id049	2006	1374	1041	804	547	533
chrIV	SGD	primary_transcript	1399531	1401327	.	-	.	ypd=3;ID=YDR470C_id004	1907	1252	2619	1714	1377	1325
chrIV	SGD	primary_transcript	1401745	1402681	.	+	.	ypd=3332;ID=YDR471W_id481	29874	20485	11386	7817	1720	1436
chrIV	SGD	primary_transcript	1403283	1404297	.	+	.	ypd=26;ID=YDR472W_id104	2047	1313	1854	1234	436	418
chrIV	SGD	primary_transcript	1404228	1405922	.	-	.	ypd=2;ID=YDR473C_id003	1904	1267	1750	1186	1026	970
chrIV	SGD	primary_transcript	1407337	1410192	.	-	.	ypd=2;ID=YDR475C_id002	2857	1866	6002	3790	3822	3749
chrIV	SGD	primary_transcript	1412079	1414411	.	+	.	ypd=7;ID=YDR477W_id006	6131	3934	7087	4454	4355	4080
chrIV	SGD	primary_transcript	1414557	1416142	.	+	.	ypd=4;ID=YDR478W_id004	969	641	551	429	424	334
chrIV	SGD	primary_transcript	1415126	1416922	.	-	.	ypd=5;ID=YDR479C_id008	1873	1248	4210	2668	3269	2958
chrIV	yeastutrgff	primary_transcript	1417374	1418495	.	+	.	ID=YDR480W_tx0	1527	939	1284	812	937	830
chrIV	SGD	primary_transcript	1418524	1420298	.	-	.	ypd=4;ID=YDR481C_id004	6002	3830	5819	3840	4715	4366
chrIV	SGD	primary_transcript	1420327	1420852	.	-	.	ypd=23;ID=YDR482C_id173	1137	785	528	386	687	547
chrIV	SGD	primary_transcript	1421131	1422597	.	+	.	ypd=172;ID=YDR483W_id163	14322	9518	8171	5594	6249	5900
chrIV	SGD	primary_transcript	1422732	1424817	.	+	.	ypd=1;ID=YDR484W_id003	1877	1210	2451	1639	1126	1136
chrIV	SGD	primary_transcript	1424664	1427215	.	-	.	ypd=3;ID=YDR485C_id007	3290	2093	3372	2272	1996	1996
chrIV	SGD	primary_transcript	1427287	1428129	.	-	.	ypd=23;ID=YDR486C_id064	2810	1916	1843	1341	1971	1706
chrIV	SGD	primary_transcript	1428250	1429038	.	-	.	ypd=55;ID=YDR487C_id182	8213	5336	4518	3231	1518	1429
chrIV	yeastutrgff	primary_transcript	1429063	1430814	.	-	.	ID=YDR488C_tx0	1603	985	848	580	465	425
chrIV	SGD	primary_transcript	1430994	1432311	.	+	.	ypd=34;ID=YDR489W_id027	1027	659	874	561	470	435
chrIV	SGD	primary_transcript	1431885	1434353	.	-	.	ypd=6;ID=YDR490C_id007	2826	1823	3724	2428	2844	3202
chrIV	SGD	primary_transcript	1434770	1435943	.	+	.	ypd=94;ID=YDR492W_id084	3293	2120	1034	737	484	329
chrIV	SGD	primary_transcript	1436116	1436690	.	+	.	ypd=23;ID=YDR493W_id118	855	593	775	510	403	441
chrIV	SGD	primary_transcript	1436897	1438087	.	+	.	ypd=9;ID=YDR494W_id035	2828	1810	3384	2361	2004	2027
chrIV	yeastutrgff	primary_transcript	1437990	1441175	.	-	.	ID=YDR495C_tx0	2677	1786	2317	1538	1806	1756
chrIV	SGD	primary_transcript	1441359	1443425	.	-	.	ypd=8;ID=YDR496C_id049	8562	5590	3057	2124	507	400
chrIV	SGD	primary_transcript	1443629	1445542	.	-	.	ypd=23;ID=YDR497C_id084	56877	37168	17897	13077	8701	11557
chrIV	SGD	primary_transcript	1445793	1447029	.	-	.	ypd=12;ID=YDR498C_id046	1689	1088	2225	1370	865	796
chrIV	SGD	primary_transcript	1447826	1450167	.	+	.	ypd=1;ID=YDR499W_id005	2366	1647	2017	1337	1062	1077
chrIV	SGD	primary_transcript	1450111	1450874	.	-	.	ypd=178;ID=YDR500C_id265	41449	26748	15664	10333	2819	2303
chrIV	yeastutrgff	primary_transcript	1451328	1453043	.	+	.	ID=YDR501W_tx0	1004	629	634	426	448	404
chrIV	SGD	primary_transcript	1453017	1454512	.	-	.	ypd=78;ID=YDR502C_id043	34607	22876	11838	8053	4800	4130
chrIV	SGD	primary_transcript	1454830	1455949	.	-	.	ypd=7;ID=YDR503C_id001	1267	837	982	661	1049	967
chrIV	SGD	primary_transcript	1456139	1457842	.	-	.	ypd=1;ID=YDR504C_id003	3307	2099	3789	2562	4901	4009
chrIV	yeastutrgff	primary_transcript	1456570	1459245	.	-	.	ID=YDR505C_tx0	5176	3417	6236	4258	7262	6310
chrIV	SGD	primary_transcript	1459304	1461593	.	-	.	ypd=5;ID=YDR506C_id006	1367	885	1665	1195	1123	1259
chrIV	SGD	primary_transcript	1462176	1465824	.	-	.	ypd=2;ID=YDR507C_id001	9285	6049	3286	2270	1400	1329
chrIV	SGD	primary_transcript	1466436	1468488	.	-	.	ypd=85;ID=YDR508C_id086	25995	16598	19659	12367	9133	9256
chrIV	SGD	primary_transcript	1469315	1469847	.	+	.	ypd=703;ID=YDR510W_id176	8587	5717	4287	2745	4477	4024
chrIV	SGD	primary_transcript	1469992	1470501	.	+	.	ypd=12;ID=YDR511W_id084	906	640	1101	808	949	862
chrIV	yeastutrgff	primary_transcript	1470375	1471088	.	-	.	ID=YDR512C_tx0	1572	1062	1364	929	2754	2577
chrIV	SGD	primary_transcript	1470995	1471530	.	+	.	ypd=656;ID=YDR513W_id190	5373	3655	6983	4881	16541	14444
chrIV	SGD	primary_transcript	1471467	1473060	.	-	.	ypd=8;ID=YDR514C_id016	2039	1367	588	396	244	307
chrIV	SGD	primary_transcript	1473279	1474873	.	+	.	ypd=1;ID=YDR515W_id008	2183	1512	998	664	1311	1264
chrIV	SGD	primary_transcript	1474879	1476502	.	-	.	ypd=3;ID=YDR516C_id057	6323	3942	38909	26875	25041	20342
chrIV	SGD	primary_transcript	1477175	1478460	.	+	.	ypd=16;ID=YDR517W_id063	5062	3249	6944	4433	4162	3780
chrIV	SGD	primary_transcript	1478583	1480211	.	+	.	ypd=70;ID=YDR518W_id043	4093	2593	2202	1444	1763	1623
